Project ID,Project Name,Project Type,Implementing Agency,State,District,Land Area (ha),Affected Families,Notification Date,Expected Completion,Actual Completion,Current Stage,Delayed (Y/N),Delay (days),Compensation Sanctioned,Compensation Disbursed,Open Disputes,R&R Progress %,Stakeholder Updates (90d),Legal Dispute Count
SYN0001,Canal Network Expansion 1,irrigation,State Irrigation Dept,Rajasthan,Pali,260.4,196,2020-04-05,2024-05-14,2024-05-01,completed,N,0,121299761,92066519,0,95.4,5,2
SYN0002,Lift Irrigation Scheme Warangal-2,irrigation,Central Water Commission,Telangana,Warangal,15.9,779,2024-11-11,2026-12-01,2028-01-04,completed,Y,399,102614292,70855169,0,94.8,2,0
SYN0003,Dam & Reservoir Project 3,irrigation,State Irrigation Dept,Uttar Pradesh,Varanasi,279.8,354,2022-09-01,2027-04-08,2028-01-05,completed,Y,272,115634604,91837002,0,70.4,2,0
SYN0004,Special Economic Zone Amravati-4,industrial,KIADB,Maharashtra,Amravati,155.9,403,2020-09-28,2022-10-18,,completed,,,138452191,64684864,3,81.3,5,3
SYN0005,Special Economic Zone Indore-5,industrial,MIDC,Madhya Pradesh,Indore,21.3,412,2018-06-01,2020-11-17,2021-05-14,completed,Y,178,364059605,194262205,0,49.1,1,1
SYN0006,Canal Network Expansion 6,irrigation,State PWD,Uttar Pradesh,Mathura,137.8,473,2019-08-26,2023-04-07,2023-04-06,completed,N,0,136306087,127364408,0,81.3,5,0
SYN0007,Special Economic Zone Kurnool-7,industrial,MIDC,Andhra Pradesh,Kurnool,177.4,88,2022-08-05,2024-08-24,2024-08-07,completed,N,0,57205317,45403860,0,66.7,2,1
SYN0008,Metro Extension 8 Varanasi,urban,BBMP,Uttar Pradesh,Varanasi,2.1,119,2021-04-28,2022-08-21,,completed,,,79486707,7861235,0,86.4,7,0
SYN0009,BRTS Corridor Gwalior-9,urban,GHMC,Madhya Pradesh,Gwalior,4.7,169,2019-01-19,2020-10-10,2020-09-24,completed,N,0,19956109,18511287,0,80.5,3,2
SYN0010,NH Extension Package 10,highway,State PWD,Andhra Pradesh,Kurnool,82.3,319,2022-04-19,2024-11-04,2024-10-29,completed,N,0,102110266,86078954,0,92.8,3,0
SYN0011,Irrigation Canal Sikar 11,irrigation,State Irrigation Dept,Rajasthan,Sikar,75.7,311,2018-08-20,2023-01-26,,completed,,,73056723,25708661,0,86.7,4,0
SYN0012,NH Extension Package 12,highway,MORTH,Rajasthan,Pali,39.1,84,2023-09-10,2026-05-27,2027-05-24,completed,Y,362,45854659,24275456,2,72.8,2,3
SYN0013,Rail Electrification Project Warangal-13,railway,RVNL,Telangana,Warangal,196.4,215,2024-05-02,2025-10-24,2025-10-11,completed,N,0,172662991,172662991,0,100.0,7,0
SYN0014,Ring Road Project 14,urban,JNURM,Telangana,Karimnagar,45.1,73,2021-03-02,2022-04-26,2022-08-30,completed,Y,126,38599470,2431767,4,40.0,2,4
SYN0015,Bypass Road Project 15 (Varanasi),highway,NHAI,Uttar Pradesh,Varanasi,83.7,157,2018-03-24,2020-01-13,,completed,,,119169304,57999700,0,100.0,8,0
SYN0016,Metro Rail Phase 16 Ghaziabad,railway,DFCCIL,Uttar Pradesh,Ghaziabad,70.1,121,2024-04-08,2025-09-30,2026-04-02,completed,Y,184,196029704,9801485,0,88.2,0,0
SYN0017,4-Lane Highway Udaipur-17,highway,MORTH,Rajasthan,Udaipur,58.0,291,2018-02-20,2020-03-11,2020-03-05,completed,N,0,41934763,36827109,0,81.2,8,2
SYN0018,Irrigation Canal Allahabad 18,irrigation,State Irrigation Dept,Uttar Pradesh,Allahabad,271.5,559,2023-06-20,2026-08-03,2028-04-09,completed,Y,615,83468075,37351964,0,65.0,2,0
SYN0019,BRTS Corridor Raigad-19,urban,JNURM,Maharashtra,Raigad,39.7,175,2021-09-27,2022-07-24,2023-03-07,completed,Y,226,47005181,25208879,0,77.1,2,0
SYN0020,4-Lane Highway Mysuru-20,highway,NHAI,Karnataka,Mysuru,103.5,67,2019-04-05,2020-03-30,2020-03-12,completed,N,0,33193109,27673095,0,65.5,3,8
SYN0021,State Highway Widening Warangal Sec 21,highway,State PWD,Telangana,Warangal,103.3,263,2019-12-17,2022-02-04,2022-01-19,completed,N,0,148244406,94505809,0,61.3,5,0
SYN0022,Dam & Reservoir Project 22,irrigation,State Irrigation Dept,Gujarat,Junagadh,94.0,573,2023-08-15,2026-05-31,,completed,,,51652943,1523762,2,90.7,3,2
SYN0023,State Highway Widening Vijayapura Sec 23,highway,NHAI,Karnataka,Vijayapura,55.6,199,2019-04-13,2022-01-27,2022-05-30,completed,Y,123,34990986,2155445,0,75.9,2,0
SYN0024,Rail Electrification Project Karimnagar-24,railway,DFCCIL,Telangana,Karimnagar,181.6,549,2024-07-18,2027-11-30,,legal_resolution,,,136392433,92474070,2,11.3,2,2
SYN0025,Industrial Corridor Phase 25,industrial,MIDC,Maharashtra,Amravati,176.0,143,2021-10-19,2022-10-14,2022-10-08,completed,N,0,192785744,144782094,0,100.0,4,0
SYN0026,Manufacturing Hub 26 Gandhinagar,industrial,APIIC,Gujarat,Gandhinagar,137.0,449,2018-12-18,2020-01-12,,completed,,,35298092,12739081,0,84.2,8,0
SYN0027,Bypass Road Project 27 (Aurangabad),highway,NHAI,Maharashtra,Aurangabad,50.6,340,2023-02-19,2024-08-12,2024-08-09,completed,N,0,117779823,109935687,0,93.1,6,0
SYN0028,Bypass Road Project 28 (Pali),highway,MORTH,Rajasthan,Pali,36.7,386,2021-12-07,2023-01-31,2023-01-12,completed,N,0,121801555,112593357,0,63.4,2,2
SYN0029,Metro Rail Phase 29 Anand,railway,Indian Railways,Gujarat,Anand,147.3,495,2018-07-27,2021-04-12,2022-02-07,completed,Y,301,198632650,22107814,7,25.1,1,7
SYN0030,Rail Corridor Bikaner Segment 30,railway,Indian Railways,Rajasthan,Bikaner,88.2,79,2020-08-08,2024-01-20,2024-06-18,completed,Y,150,151389480,56907306,1,67.2,2,1
SYN0031,Special Economic Zone Bharatpur-31,industrial,APIIC,Rajasthan,Bharatpur,144.3,380,2018-04-24,2020-05-13,2020-07-30,completed,Y,78,26552439,11112196,0,74.6,1,2
SYN0032,Lift Irrigation Scheme Tumkur-32,irrigation,Central Water Commission,Karnataka,Tumkur,102.4,276,2021-12-18,2025-03-02,2026-02-13,completed,Y,348,28313175,3301316,0,47.4,0,1
SYN0033,4-Lane Highway Ujjain-33,highway,MORTH,Madhya Pradesh,Ujjain,87.9,94,2018-04-10,2019-11-01,2019-10-15,completed,N,0,47359813,47359813,0,74.6,8,0
SYN0034,Rail Electrification Project Suryapet-34,railway,DFCCIL,Telangana,Suryapet,175.1,166,2021-08-11,2023-07-02,,completed,,,126205158,55391444,0,91.5,2,0
SYN0035,NH Extension Package 35,highway,NHAI,Rajasthan,Jodhpur,67.5,260,2022-07-20,2025-02-04,,completed,,,48116204,5542987,0,73.6,6,0
SYN0036,Dam & Reservoir Project 36,irrigation,Central Water Commission,Andhra Pradesh,Kurnool,59.6,458,2020-11-03,2023-02-21,2023-02-22,completed,Y,1,61795561,32133692,1,86.1,0,1
SYN0037,Dam & Reservoir Project 37,irrigation,Central Water Commission,Rajasthan,Pali,250.6,113,2021-02-18,2023-10-06,2023-09-17,completed,N,0,151046756,119357147,0,76.8,2,3
SYN0038,Rail Electrification Project Alwar-38,railway,DFCCIL,Rajasthan,Alwar,128.7,76,2021-02-20,2022-09-13,,completed,,,288954220,101394036,2,65.2,2,2
SYN0039,Ring Road Project 39,urban,HMDA,Rajasthan,Pali,30.1,182,2021-09-21,2023-02-13,,completed,,,97060247,9608964,0,84.9,4,0
SYN0040,Canal Network Expansion 40,irrigation,State Irrigation Dept,Maharashtra,Solapur,86.9,158,2020-11-13,2025-03-22,2025-03-23,completed,Y,1,105346269,84403431,0,52.8,1,0
SYN0041,Bypass Road Project 41 (Kalaburagi),highway,State PWD,Karnataka,Kalaburagi,58.2,387,2024-01-07,2025-08-29,2025-12-19,completed,Y,112,96353230,56414816,2,25.0,2,3
SYN0042,NH Extension Package 42,highway,NHAI,Gujarat,Surat,66.0,169,2021-02-21,2022-06-16,2022-08-13,completed,Y,58,73471868,26560080,0,58.0,2,2
SYN0043,Canal Network Expansion 43,irrigation,State Irrigation Dept,Maharashtra,Nagpur,182.3,715,2020-09-09,2022-03-03,2023-02-28,completed,Y,362,110023213,35548500,0,75.9,1,0
SYN0044,Metro Extension 44 Kanpur,urban,JNURM,Uttar Pradesh,Kanpur,40.9,118,2019-07-02,2020-09-24,,completed,,,80277398,16071535,2,75.0,2,2
SYN0045,NH Extension Package 45,highway,State PWD,Karnataka,Mysuru,116.7,68,2022-08-01,2025-06-16,2025-06-06,completed,N,0,95372613,80179756,0,85.7,4,3
SYN0046,Industrial Corridor Phase 46,industrial,GIDC,Gujarat,Anand,98.1,100,2022-02-08,2023-10-31,,completed,,,287478515,92855560,2,87.3,4,2
SYN0047,BRTS Corridor Karimnagar-47,urban,HMDA,Telangana,Karimnagar,34.7,66,2020-06-14,2021-06-09,2021-08-07,completed,Y,59,87729762,31644125,0,44.9,0,0
SYN0048,Rail Corridor Sikar Segment 48,railway,DFCCIL,Rajasthan,Sikar,190.1,356,2024-08-10,2027-10-24,2027-11-01,completed,Y,8,82528485,46438779,0,44.0,1,0
SYN0049,4-Lane Highway Botad-49,highway,State PWD,Gujarat,Botad,105.2,55,2023-05-01,2026-01-15,2025-12-20,completed,N,0,136102517,113169243,0,100.0,6,0
SYN0050,Industrial Park Kanpur 50,industrial,KIADB,Uttar Pradesh,Kanpur,136.3,208,2023-12-25,2025-04-18,2025-12-25,completed,Y,251,158647269,128044211,2,87.2,2,3
SYN0051,Metro Rail Phase 51 Varanasi,railway,RVNL,Uttar Pradesh,Varanasi,190.0,352,2022-09-09,2026-04-21,2026-10-24,completed,Y,186,43399215,25948391,1,52.5,2,3
SYN0052,Industrial Corridor Phase 52,industrial,RIICO,Gujarat,Junagadh,141.1,394,2024-07-01,2026-02-21,2026-06-27,completed,Y,126,262648722,66187478,1,76.7,0,1
SYN0053,Irrigation Canal Kalaburagi 53,irrigation,State PWD,Karnataka,Kalaburagi,27.9,78,2023-08-23,2026-09-06,2026-09-21,completed,Y,15,23952440,13657681,0,48.0,1,0
SYN0054,Dam & Reservoir Project 54,irrigation,Central Water Commission,Gujarat,Botad,24.3,419,2021-11-04,2025-11-13,2026-05-23,completed,Y,191,51041964,3950648,2,95.0,2,6
SYN0055,BRTS Corridor Bangalore Urban-55,urban,BBMP,Karnataka,Bangalore Urban,32.8,172,2019-02-28,2021-01-18,2021-06-28,completed,Y,161,36683370,31764130,0,52.5,0,1
SYN0056,Special Economic Zone Jhansi-56,industrial,MIDC,Uttar Pradesh,Jhansi,117.2,458,2020-03-26,2021-03-21,2021-03-21,completed,N,0,70085227,52353665,0,100.0,6,5
SYN0057,Freight Corridor Extension 57,railway,Indian Railways,Maharashtra,Thane,160.0,575,2023-07-17,2025-04-07,,completed,,,141081572,40476303,1,100.0,7,1
SYN0058,Industrial Corridor Phase 58,industrial,APIIC,Rajasthan,Sikar,33.2,91,2021-07-14,2022-10-07,2022-10-23,completed,Y,16,67952804,18530730,2,36.3,1,3
SYN0059,Metro Extension 59 Sikar,urban,JNURM,Rajasthan,Sikar,28.5,75,2018-12-04,2020-10-24,2020-10-11,completed,N,0,37198504,28300622,0,86.5,2,3
SYN0060,Freight Corridor Extension 60,railway,DFCCIL,Karnataka,Mangaluru,37.4,431,2023-08-03,2025-03-25,,completed,,,171347513,14581673,0,72.0,4,0
SYN0061,Canal Network Expansion 61,irrigation,Central Water Commission,Gujarat,Anand,179.7,257,2024-12-02,2027-11-17,2028-11-26,completed,Y,375,170218595,53618857,0,75.6,1,0
SYN0062,Irrigation Canal Junagadh 62,irrigation,Central Water Commission,Gujarat,Junagadh,232.3,387,2022-11-27,2025-10-12,2026-04-09,completed,Y,179,32934041,14296667,0,48.7,0,0
SYN0063,Manufacturing Hub 63 Bareilly,industrial,GIDC,Uttar Pradesh,Bareilly,122.2,93,2020-03-12,2021-12-02,,completed,,,79120363,19882947,2,77.2,2,2
SYN0064,Bypass Road Project 64 (Bharuch),highway,MORTH,Gujarat,Bharuch,22.2,377,2021-05-07,2024-04-21,2024-03-31,completed,N,0,49720812,46926502,0,100.0,2,0
SYN0065,4-Lane Highway Kota-65,highway,NHAI,Rajasthan,Kota,24.2,302,2020-06-04,2021-05-30,2021-10-21,completed,Y,144,125836359,64101041,0,47.7,1,0
SYN0066,Bypass Road Project 66 (Chittoor),highway,MORTH,Andhra Pradesh,Chittoor,12.3,196,2022-07-23,2025-03-09,2025-02-23,completed,N,0,125643757,116233040,0,78.9,8,0
SYN0067,NH Extension Package 67,highway,State PWD,Gujarat,Botad,18.4,354,2021-05-24,2023-03-15,2023-06-30,completed,Y,107,136358796,37171408,2,81.2,0,2
SYN0068,State Highway Widening Thane Sec 68,highway,NHAI,Maharashtra,Thane,95.0,282,2022-03-25,2025-03-09,2026-04-15,completed,Y,402,89022873,25754317,0,17.5,2,0
SYN0069,Rail Electrification Project Indore-69,railway,DFCCIL,Madhya Pradesh,Indore,33.4,522,2023-05-26,2025-07-14,2026-02-16,completed,Y,217,251192023,218411464,0,73.5,2,0
SYN0070,Irrigation Canal Bharuch 70,irrigation,Central Water Commission,Gujarat,Bharuch,58.0,103,2021-10-21,2024-04-08,2024-03-13,completed,N,0,71970366,61059659,0,64.7,3,1
SYN0071,State Highway Widening Satna Sec 71,highway,MORTH,Madhya Pradesh,Satna,75.8,353,2020-06-10,2022-05-31,2022-07-23,completed,Y,53,18703362,7515011,0,40.3,1,0
SYN0072,Bypass Road Project 72 (Solapur),highway,State PWD,Maharashtra,Solapur,97.1,95,2019-10-23,2020-12-16,2020-11-23,completed,N,0,149588796,138414513,0,78.5,7,0
SYN0073,Metro Rail Phase 73 Bangalore Urban,railway,DFCCIL,Karnataka,Bangalore Urban,200.0,208,2019-04-11,2023-03-21,,completed,,,254884233,116533071,0,97.3,8,0
SYN0074,Special Economic Zone Karimnagar-74,industrial,KIADB,Telangana,Karimnagar,132.5,134,2022-07-05,2023-11-27,2024-06-08,completed,Y,194,158433777,58557124,1,10.0,2,1
SYN0075,Industrial Park Mathura 75,industrial,MIDC,Uttar Pradesh,Mathura,103.1,194,2024-08-27,2026-02-18,2026-02-28,completed,Y,10,179091114,99771660,2,66.4,1,7
SYN0076,NH Extension Package 76,highway,MORTH,Madhya Pradesh,Sagar,40.0,292,2023-09-28,2024-12-21,2025-07-14,completed,Y,205,142229923,74258243,1,76.6,0,2
SYN0077,Freight Corridor Extension 77,railway,DFCCIL,Gujarat,Junagadh,162.4,190,2021-02-12,2023-03-04,2023-02-17,completed,N,0,211860877,211860877,0,100.0,5,6
SYN0078,Dam & Reservoir Project 78,irrigation,State Irrigation Dept,Andhra Pradesh,Guntur,97.1,348,2024-03-18,2028-10-23,2028-10-24,completed,Y,1,129595588,54844853,0,50.0,2,0
SYN0079,Canal Network Expansion 79,irrigation,State Irrigation Dept,Uttar Pradesh,Varanasi,205.4,576,2018-10-12,2021-06-28,2021-08-01,completed,Y,34,107581592,5379080,0,52.3,1,0
SYN0080,Industrial Park Nizamabad 80,industrial,RIICO,Telangana,Nizamabad,133.1,445,2023-01-12,2024-03-07,2024-03-03,completed,N,0,36847562,24658388,0,74.2,3,2
SYN0081,Special Economic Zone Satna-81,industrial,MIDC,Madhya Pradesh,Satna,162.4,71,2018-12-25,2021-02-12,2021-06-29,completed,Y,137,171325141,99282919,0,34.2,2,0
SYN0082,4-Lane Highway Bangalore Urban-82,highway,MORTH,Karnataka,Bangalore Urban,58.4,227,2020-02-26,2022-01-16,2022-10-11,completed,Y,268,105349931,22723980,0,81.5,0,0
SYN0083,Special Economic Zone West Godavari-83,industrial,KIADB,Andhra Pradesh,West Godavari,75.2,358,2022-05-11,2023-08-04,2023-12-17,completed,Y,135,188685185,27359352,1,65.5,2,1
SYN0084,Metro Extension 84 Jaipur,urban,HMDA,Rajasthan,Jaipur,42.7,193,2020-09-26,2022-06-18,2022-11-03,completed,Y,138,11387169,5892860,3,36.2,2,5
SYN0085,4-Lane Highway Amravati-85,highway,State PWD,Maharashtra,Amravati,81.5,157,2021-02-19,2022-06-14,2022-11-04,completed,Y,143,31976967,1598848,0,50.1,1,0
SYN0086,Industrial Park Jabalpur 86,industrial,KIADB,Madhya Pradesh,Jabalpur,51.1,415,2023-08-07,2024-10-30,2024-10-31,completed,Y,1,279133119,164409407,0,40.5,2,0
SYN0087,State Highway Widening Ajmer Sec 87,highway,NHAI,Rajasthan,Ajmer,25.3,282,2024-06-17,2026-01-08,2025-12-28,completed,N,0,72773847,68618460,0,81.2,2,0
SYN0088,Bypass Road Project 88 (Bharuch),highway,MORTH,Gujarat,Bharuch,59.5,378,2024-07-27,2027-01-13,2027-04-16,completed,Y,93,125212791,25318026,1,46.6,1,4
SYN0089,Dam & Reservoir Project 89,irrigation,Central Water Commission,Telangana,Warangal,285.0,571,2020-03-06,2023-04-20,,completed,,,169957073,42353303,0,100.0,6,0
SYN0090,NH Extension Package 90,highway,MORTH,Rajasthan,Pali,82.5,398,2022-11-06,2025-04-24,,completed,,,53954840,15571367,0,80.0,8,0
SYN0091,State Highway Widening Suryapet Sec 91,highway,State PWD,Telangana,Suryapet,79.0,178,2024-10-14,2027-05-02,2027-09-03,completed,Y,124,40507297,22651680,1,35.9,0,1
SYN0092,Canal Network Expansion 92,irrigation,State Irrigation Dept,Maharashtra,Amravati,106.0,393,2021-04-11,2025-11-16,2027-04-11,completed,Y,511,77255339,23284759,3,48.4,0,3
SYN0093,NH Extension Package 93,highway,NHAI,Uttar Pradesh,Varanasi,99.5,325,2020-07-28,2023-02-13,2023-09-22,completed,Y,221,28104650,20423649,2,54.4,1,5
SYN0094,State Highway Widening Junagadh Sec 94,highway,State PWD,Gujarat,Junagadh,107.1,364,2019-10-12,2020-11-05,2020-11-06,completed,Y,1,6185724,3538853,1,61.7,2,1
SYN0095,Rail Electrification Project Anand-95,railway,Indian Railways,Gujarat,Anand,89.5,511,2018-10-18,2020-10-07,2021-07-02,completed,Y,268,296836303,128559803,0,45.9,1,0
SYN0096,Freight Corridor Extension 96,railway,DFCCIL,Karnataka,Vijayapura,44.7,391,2019-10-17,2022-04-04,2022-03-31,completed,N,0,185815551,143728329,0,80.7,6,0
SYN0097,Metro Rail Phase 97 Botad,railway,RVNL,Gujarat,Botad,121.3,536,2022-06-17,2026-01-27,2026-07-08,completed,Y,162,205403854,157935023,0,51.7,2,1
SYN0098,Rail Electrification Project Lucknow-98,railway,RVNL,Uttar Pradesh,Lucknow,46.6,298,2019-09-21,2023-02-02,2023-01-30,completed,N,0,65327455,49877512,0,87.7,5,2
SYN0099,Canal Network Expansion 99,irrigation,Central Water Commission,Gujarat,Junagadh,174.9,718,2024-12-24,2026-09-15,,legal_resolution,,,78480831,56011769,1,7.6,2,1
SYN0100,Rail Electrification Project Mangaluru-100,railway,RVNL,Karnataka,Mangaluru,158.8,262,2019-04-09,2022-02-22,2022-06-20,completed,Y,118,149142993,7457150,5,37.7,1,6
SYN0101,State Highway Widening Mehsana Sec 101,highway,State PWD,Gujarat,Mehsana,82.2,275,2020-01-10,2022-10-26,2022-10-18,completed,N,0,140288470,120423623,0,74.3,6,3
SYN0102,Special Economic Zone Kanpur-102,industrial,APIIC,Uttar Pradesh,Kanpur,38.1,444,2023-04-02,2024-06-25,2024-05-27,completed,N,0,80017609,59068999,0,56.7,5,2
SYN0103,Metro Rail Phase 103 Meerut,railway,DFCCIL,Uttar Pradesh,Meerut,153.0,88,2023-01-25,2024-09-16,2025-07-24,completed,Y,311,265851042,186654017,0,95.0,1,0
SYN0104,4-Lane Highway Jaipur-104,highway,NHAI,Rajasthan,Jaipur,67.7,98,2022-10-04,2024-07-25,2025-05-24,completed,Y,303,32957653,19098960,7,62.7,2,8
SYN0105,4-Lane Highway Pune-105,highway,MORTH,Maharashtra,Pune,104.2,237,2024-05-19,2027-02-03,,possession,,,79715696,73912393,0,93.6,3,0
SYN0106,Urban Flyover Sagar 106,urban,GHMC,Madhya Pradesh,Sagar,30.0,166,2020-07-08,2021-11-30,,completed,,,67099920,15506792,6,77.0,2,6
SYN0107,Metro Rail Phase 107 Kolhapur,railway,RVNL,Maharashtra,Kolhapur,59.8,186,2023-02-21,2027-01-01,,possession,,,141943815,127252630,0,81.0,7,0
SYN0108,Dam & Reservoir Project 108,irrigation,Central Water Commission,Madhya Pradesh,Ratlam,142.3,760,2024-04-22,2028-11-27,,compensation,,,183862718,144552869,0,46.3,6,0
SYN0109,Bypass Road Project 109 (Nashik),highway,State PWD,Maharashtra,Nashik,66.1,58,2018-11-07,2021-08-23,2021-08-09,completed,N,0,86767122,61838928,0,73.9,4,0
SYN0110,Special Economic Zone Gandhinagar-110,industrial,APIIC,Gujarat,Gandhinagar,198.9,85,2022-02-02,2024-02-22,2024-09-12,completed,Y,203,129094469,68484616,0,64.8,1,0
SYN0111,Metro Extension 111 Bharuch,urban,BBMP,Gujarat,Bharuch,18.7,65,2018-11-22,2020-10-12,2020-12-17,completed,Y,66,17097973,15282168,0,49.9,1,1
SYN0112,Freight Corridor Extension 112,railway,DFCCIL,Gujarat,Junagadh,25.8,479,2019-08-12,2021-06-02,2021-05-05,completed,N,0,14537281,13012320,0,88.7,2,4
SYN0113,Rail Corridor Khammam Segment 113,railway,RVNL,Telangana,Khammam,30.2,565,2021-08-08,2024-06-23,2024-12-13,completed,Y,173,275755140,61658849,2,42.9,0,3
SYN0114,Rail Electrification Project Nanded-114,railway,Indian Railways,Maharashtra,Nanded,184.1,487,2020-05-02,2023-03-18,,completed,,,23596388,3058092,3,99.9,5,3
SYN0115,Special Economic Zone Ballari-115,industrial,GIDC,Karnataka,Ballari,74.1,412,2020-07-06,2022-11-23,2023-04-21,completed,Y,149,41897095,11949051,2,65.8,0,2
SYN0116,Rail Corridor Kota Segment 116,railway,DFCCIL,Rajasthan,Kota,68.3,90,2021-06-03,2024-04-18,,completed,,,64567355,17284681,0,58.0,6,0
SYN0117,NH Extension Package 117,highway,State PWD,Uttar Pradesh,Allahabad,110.6,386,2019-04-24,2020-07-17,,completed,,,34654406,14336528,2,72.3,8,2
SYN0118,4-Lane Highway Ratlam-118,highway,MORTH,Madhya Pradesh,Ratlam,98.3,399,2020-05-12,2022-08-30,,completed,,,126761021,47408622,1,74.6,5,1
SYN0119,4-Lane Highway Varanasi-119,highway,NHAI,Uttar Pradesh,Varanasi,46.3,224,2022-10-19,2025-09-03,2026-06-27,completed,Y,297,84843167,56607361,0,48.7,2,0
SYN0120,Lift Irrigation Scheme Satna-120,irrigation,State PWD,Madhya Pradesh,Satna,169.5,697,2019-03-24,2023-07-01,2024-01-21,completed,Y,204,168618356,142077827,0,71.6,0,3
SYN0121,Freight Corridor Extension 121,railway,RVNL,Uttar Pradesh,Agra,140.0,544,2018-04-17,2020-12-02,2021-06-12,completed,Y,192,164341621,73247060,1,56.9,2,1
SYN0122,Ring Road Project 122,urban,BBMP,Telangana,Sangareddy,14.1,110,2018-02-17,2019-02-12,2019-03-23,completed,Y,39,40439900,9875424,0,69.4,1,1
SYN0123,Canal Network Expansion 123,irrigation,State PWD,Andhra Pradesh,Guntur,63.8,551,2021-07-18,2025-06-27,2025-06-17,completed,N,0,115342042,105388024,0,76.8,6,0
SYN0124,Metro Extension 124 Kanpur,urban,JNURM,Uttar Pradesh,Kanpur,29.0,28,2020-01-03,2021-08-25,,completed,,,85790622,30172562,3,83.0,3,3
SYN0125,Special Economic Zone Surat-125,industrial,RIICO,Gujarat,Surat,89.1,428,2022-04-19,2024-04-08,2024-03-16,completed,N,0,49802523,43666852,0,68.2,2,1
SYN0126,Rail Electrification Project Chittoor-126,railway,RVNL,Andhra Pradesh,Chittoor,61.1,434,2024-06-01,2027-07-16,2027-08-25,completed,Y,40,201594853,149623700,3,69.2,2,7
